Service;Agent;Time;Medium
IS-Remote Access (VPN)::Usage request;petros;15;Email
IS-Printer support::Usage request;petros;5;Email
Desktop Support;giorgia;361;Email
IS-Strategic OS-Software-Systems::Usage request - MS Windows;petros;22;Email
IS-Identity Management - IDM::New account;petros;10;Email
IS-e-Mail::Usage request;giorgia;30;Email
IS-Peripheral Support;giorgia;32;OnSiteVisit
IS-Wireless Network::Usage request;petros;45;Phone
Laptop Support;giorgia;15;Email
Macintosh;giorgia;15;Email
IS-Printer support;giorgia;30;Email
Non-strategic Software;giorgia;16;Email
IS-Printer support;giorgia;30;Email
Desktop Support;giorgia;180;Email
Laptop Support;giorgia;31;Email
Specialized software::Usage request;giorgia;30;Email
IS-Strategic Software::Usage request-Ms Office 365;giorgia;60;Email
IS-Printer support::Usage request;petros;71;Phone
IS-Peripheral Support::DLP malfunction;giorgia;120;Email
IS-Accounts::New account;giorgia;30;Email
IS-Accounts::New account;giorgia;11;Phone
IS-Strategic Software::Usage request-Ms Office 365;petros;5;Email
Laptop Support;giorgia;10;Email
Laptop Support;giorgia;1;Email
IS-Accounts;giorgia;15;Email
IS-Accounts;giorgia;15;Email
IS-Accounts;giorgia;15;Email
IS-Accounts;giorgia;75;Email
IS-Accounts;giorgia;55;Email
IS-Identity Management - IDM::New account;giorgia;30;Email
IS-Accounts;giorgia;70;Email
Desktop Support;giorgia;61;Email
Laptop Support;petros;15;Email
IS-Data Security and Protection::Phishing;petros;30;Email
IS-Data Security and Protection::Phishing;petros;1;Email
Laptop Support;petros;21;Phone
Laptop Support;giorgia;25;Email
IS-Accounts;giorgia;60;Email
IS-Accounts;giorgia;2;Email
Laptop Support::Usage request;giorgia;41;Email
IS-Identity Management - IDM::New account;giorgia;30;Email
IS-Accounts;giorgia;30;Email
IS-Identity Management - IDM::New account;giorgia;30;Email
Laptop Support;petros;26;Email
Laptop Support;kallis;90;Email
Laptop Support::Usage request;petros;31;Phone
IS-Identity Management - IDM::New account;petros;20;Email
IS-Identity Management - IDM::New account;petros;21;Email
IS-Remote Access (VPN)::Usage request;petros;10;Email
Microsoft Software Support::Usage request - Ms Office;petros;5;Email
IS-Identity Management - IDM::New account;petros;5;Email
Laptop Support::Usage request;petros;180;Email
Laptop Support::Usage request;kallis;66;OnSiteVisit
IS-e-Mail;petros;11;Email
Specialized software::New installation;petros;16;Email
IS-Antispam::Usage request;petros;15;Email
Laptop Support::Usage request;kallis;46;Email
IS-Printer support::Usage request;kallis;30;Email
Microsoft Software Support::Usage request - MS Windows;kallis;61;Email
Laptop Support;kallis;61;Email
Laptop Support::Usage request;kallis;32;Email
Desktop Support;kallis;67;Email
IS-Printer support::Usage request;petros;79;Phone
Laptop Support::Usage request;petros;51;Phone
Laptop Support;petros;128;OnSiteVisit
Macintosh::Usage request;petros;27;Phone
IS-Remote Access (VPN)::Usage request;petros;36;Email
IS-Remote Access (VPN)::Usage request;petros;16;Email
IS-Remote Access (VPN)::Usage request;petros;48;Email
IS-e-Mail::Usage request;petros;30;Phone
Laptop Support::Usage request;petros;41;Email
IS-Strategic OS-Software-Systems::Personalized setup - Active Directory;petros;25;Email
IS-Strategic Software::Usage request-Ms Office 365;petros;27;Email
Laptop Support;petros;52;Phone
Laptop Support::Usage request;petros;39;Email
IS-e-Mail::Usage request;petros;28;Email
IS-Videoconference::Usage request;petros;30;Email
IS-Strategic OS-Software-Systems::Usage request - MS Windows;petros;41;Email
Specialized software::Usage request;petros;46;Phone
AS-Application Server Management;petros;157;Email
Desktop Support::Monitor malfunction;petros;150;Email
IS-Endpoint Protection::Usage request;petros;25;Email
Laptop Support::Usage request;petros;19;Email
IS-Telephony::Application connection;petros;190;Email
IS-Perimeter Network Security::Access to Network resources;petros;75;Email
IS-Electronic Storage::Usage request;petros;75;Email
IS-e-Mail::Usage request;petros;195;Phone
IS-Strategic OS-Software-Systems::Personalized setup - Active Directory;petros;30;Email
Laptop Support::Usage request;petros;136;Email
IS-Electronic Storage::Usage request;petros;31;Email
Laptop Support::Usage request;petros;20;Email
Laptop Support::Usage request;petros;199;Email
Desktop Support::Display Malfunction;petros;50;Email
Microsoft Software Support::Usage request - Ms Office;petros;20;Phone
IS-e-Mail::Usage request;petros;32;Email
Laptop Support::Usage request;root@localhost;10;Email
IS-Network Access::Performance degradation - Local Network access;root@localhost;10;Email
Tender management::Payments Tracking;kallis;32;Email
Specialized software::Usage request;kallis;33;Email
IS-Identity Management - IDM::New account;giorgia;15;Email
