Service;Agent;Time;Medium
Laptop Support::Usage request;giorgia;60;Email
Laptop Support::Usage request;giorgia;362;Email
IS-Identity Management - IDM::New account;giorgia;31;Email
Tender management::Orders;giorgia;3;Email
Tender management::Delivery;giorgia;120;Email
IS-Wireless Network::Usage request;petros;10;Email
Specialized software::Usage request;petros;46;Email
IS-Tools/Software provision::Usage request;kallis;126;Email
Desktop Support;kallis;37;Email
IS-Data Security and Protection::External Hacking;kallis;37;Email
AS-Database Management::New Schema;kallis;187;Email
Desktop Support;kallis;22;Email
Desktop Support::Hard Disk malfunction;kallis;487;Email
IS-e-Mail::Usage request;kallis;32;Email
IS-Peripheral Support::Usage request;giorgia;212;SelfAssigned
Laptop Support::Usage request;giorgia;316;Email
IS-Peripheral Support::Usage request;giorgia;30;Email
Specialized software::Usage request;giorgia;15;Email
IS-Wireless Network::Usage request;giorgia;15;Email
Laptop Support::New Laptop;giorgia;180;Email
Desktop Support;kallis;37;Email
Tender management::Payments Tracking;giorgia;120;Email
Laptop Support::Usage request;giorgia;1200;Email
Tender management::Orders;giorgia;20;Email
IS-Data Security and Protection::Phishing;petros;12;Email
IS-Remote Access (VPN)::Usage request;petros;34;Email
IS-e-Mail::Usage request;kallis;75;Email
AS-Content Management System::New Profile;kallis;21;Email
IS-Identity Management - IDM::Usage request;petros;5;Email
Desktop Support::Keyboard Malfunction;giorgia;5;Email
IS-Tele-collaboration & synchronous education::Usage request;giorgia;20;Email
Laptop Support::Usage request;giorgia;30;Email
Laptop Support::Usage request;giorgia;45;Email
Microsoft Software Support::Usage request - MS Windows;giorgia;20;Email
Microsoft Software Support::Usage request - Ms Office;giorgia;30;Email
IS-Printer support::Usage request;giorgia;30;Email
IS-Strategic Software::New software license;giorgia;30;Email
IS-Data Security and Protection::Phishing;giorgia;1;Email
IS-Accounts::Password change;petros;15;Email
IS-e-Mail::Usage request;petros;2;Email
Laptop Support::New Laptop;giorgia;120;Email
IS-Accounts::New account;petros;10;Email
Desktop Support::Usage request;petros;30;Email
IS-Wireless Network::Usage request;giorgia;30;Email
Laptop Support::New Laptop;petros;31;Email
IS-Printer support::Usage request;petros;21;Email
IS-Tele-collaboration & synchronous education::Usage request;kallis;34;Email
Specialized software::Usage request;kallis;48;Email
IS-Accounts::Password change;giorgia;23;Email
IS-Accounts::Password change;giorgia;23;Email
Desktop Support::Usage request;giorgia;48;Email
IS-Tools/Software provision;giorgia;63;Email
IS-Data Security and Protection::Phishing;giorgia;33;Email
Laptop Support;giorgia;63;Email
IS-Tools/Software provision::Usage request;giorgia;33;Email
IS-Identity Management - IDM::New account;giorgia;16;Email
IS-Strategic OS-Software-Systems::Usage request - Active Directory;giorgia;123;Email
Desktop Support::Performance degradation;giorgia;45;Email
AS-E-Learning::Usage request;giorgia;17;Email
AS-Financial Management System::Usage request;giorgia;18;Email
Desktop Support::Usage request;giorgia;19;Email
Microsoft Software Support::Usage request - MS Windows;giorgia;15;Email
Desktop Support::Keyboard Malfunction;giorgia;15;Email
IS-Accounts::Password change;giorgia;45;Email
IS-Backup::New computer - CrashPlan;giorgia;20;Email
IS-Backup::New computer - CrashPlan;giorgia;20;Email
IS-Backup::New computer - CrashPlan;giorgia;20;Email
IS-Backup::New computer - CrashPlan;giorgia;20;Email
Laptop Support::Personalized (user) setup;giorgia;60;Email
Laptop Support::Personalized (user) setup;giorgia;240;Email
Desktop Support::New Desktop;giorgia;180;Email
IS-Printer support::Usage request;petros;16;Email
IS-Data Security and Protection::Phishing;petros;16;Email
IS-Electronic Storage::Usage request;petros;15;Email
IS-Peripheral Support::Usage request;giorgia;30;Email
Obsolete equipment Management;giorgia;30;Email
Obsolete equipment Management;giorgia;30;Email
Specialized software::Usage request;giorgia;30;Email
Laptop Support::Usage request;giorgia;30;Email
Specialized software::Usage request;kallis;31;Email
Microsoft Software Support::Usage request - Ms Office;kallis;31;Email
IS-Printer support::Usage request;kallis;30;Email
Laptop Support::Usage request;giorgia;60;Email
IS-e-Mail::Usage request;kallis;81;Email
IS-Printer support::Usage request;kallis;31;Email
IS-Printer support::Usage request;kallis;31;Email
IS-Printer support::Usage request;kallis;11;Email
